analyte	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_Ghana_pval	education_Ghana_pval.adj	aspirin_pval	aspirin_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	PSA_pval	PSA_pval.adj
PDL1	0.893069675855481	0.971977903647459	0.0316034675500197	0.110612136425069	0.971977903647459	0.971977903647459	0.171306615522021	0.399715436218049	0.882977101347154	0.971977903647459	0.0101501268811047	0.0710508881677328	0.933230408073456	0.971977903647459
CD27	0.0800340676757255	0.105088536891051	1.18825548901772e-06	8.31778842312404e-06	0.00064589079006936	0.00226061776524276	0.0332900214609712	0.0582575375566995	0.0900758887637578	0.105088536891051	0.00111409306982306	0.00259955049625381	0.961961405409209	0.961961405409209
HGF	0.0232139131711314	0.16249739219792	0.198134022495438	0.287108298861128	0.187767560133431	0.287108298861128	0.205077356329377	0.287108298861128	0.0632483786696602	0.221369325343811	0.397285846530731	0.463500154285853	0.726521901581311	0.726521901581311
GZMA	0.146374103726112	0.202588978746009	0.179368956633997	0.202588978746009	0.000444041602195914	0.0031082912153714	0.202588978746009	0.202588978746009	0.136714140330987	0.202588978746009	0.200218023656399	0.202588978746009	0.0283630002703225	0.0992705009461289
HO1	0.40881765643809	0.688485197557781	0.247139085538752	0.688485197557781	0.491775141112701	0.688485197557781	0.733073378560796	0.855252274987595	0.0188603649905509	0.132022554933856	0.389824187559854	0.688485197557781	0.969828810172414	0.969828810172414
CX3CL1	0.00282343406389446	0.00700285066588217	0.00170756744980464	0.00700285066588217	0.480380906971734	0.672533269760427	0.317324768734414	0.555318345285225	0.761959925940659	0.888953246930769	0.0030012217139495	0.00700285066588217	0.943477061715883	0.943477061715883
CD70	0.00172051338545035	0.0120435936981524	0.40558645833626	0.427613637711384	0.427613637711384	0.427613637711384	0.151672991151437	0.427613637711384	0.35636586631663	0.427613637711384	0.222166379520526	0.427613637711384	0.377172990607617	0.427613637711384
TNFRSF12A	4.27222645717977e-05	0.000299055852002584	0.157704425818269	0.275982745181971	0.011579551710822	0.0405284309878769	0.271225443966796	0.351771411609438	0.351771411609438	0.351771411609438	0.0384234473447734	0.089654710471138	0.315615591510372	0.351771411609438
CCL23	0.00989158420502326	0.0346205447175814	0.0047304033554985	0.0331128234884895	0.0522460343506406	0.121907413484828	0.207331839124439	0.241887145645179	0.148636638732707	0.20809129422579	0.077164281988412	0.135037493479721	0.499015260833462	0.499015260833462
CD5	0.970106805705616	0.970106805705616	0.509213033662819	0.594081872606622	0.00615383908121475	0.0430768735685033	0.039586453916518	0.138552588707813	0.417356043634482	0.584298461088275	0.0685316275238777	0.159907130889048	0.236604426660996	0.414057746656743
CCL3	0.0464359786757168	0.138917111816346	0.0595359050641484	0.138917111816346	0.449481869928585	0.449481869928585	0.00305378974614902	0.0213765282230431	0.15248064447656	0.223612994401327	0.422848431289842	0.449481869928585	0.159723567429519	0.223612994401327
MMP7	4.17711317100192e-07	2.92397921970134e-06	0.148833159543657	0.347277372268534	0.373352765284591	0.522693871398428	0.777589355654421	0.866653309511545	0.866653309511545	0.866653309511545	0.00569119365615907	0.0199191777965568	0.233618645160909	0.40883262903159
NCR1	0.101364995439402	0.177388742018953	0.0967496679327919	0.177388742018953	0.249577917563348	0.349409084588687	0.89351927933233	0.89351927933233	0.0575957198194456	0.177388742018953	0.00193251191810765	0.0135275834267536	0.885445695508899	0.89351927933233
DCN	0.00319168751311958	0.0111709062959185	0.113653515624935	0.198893652343637	0.573734839386145	0.717104891887928	0.844635032600124	0.844635032600124	0.614661335903938	0.717104891887928	0.0321324199873658	0.0749756466371869	0.00117924111087422	0.00825468777611956
TNFRSF21	0.428453467319872	0.428453467319872	0.00530565784134209	0.0371396048893946	0.370965607363923	0.428453467319872	0.371984949836412	0.428453467319872	0.339762248224626	0.428453467319872	0.0263520447729092	0.0922321567051823	0.386549908970781	0.428453467319872
TNFRSF4	0.106048381318839	0.247446223077291	0.73622010154665	0.73622010154665	0.027277370860498	0.103756778687027	0.465707275931497	0.543325155253414	0.17814077025831	0.249397078361635	0.0296447939105791	0.103756778687027	0.161965915623669	0.249397078361635
CCL17	0.307111717625513	0.429956404675718	0.245291332808688	0.429956404675718	0.293492953594413	0.429956404675718	0.754374405226495	0.754374405226495	0.672453586412496	0.754374405226495	0.285650929849494	0.429956404675718	0.153049976161375	0.429956404675718
ANGPT2	0.00697657437637025	0.0473567991374788	0.835960442644408	0.890496587531277	0.503073304636774	0.880378283114354	0.0468760824753322	0.109377525775775	0.0135305140392797	0.0473567991374788	0.890496587531277	0.890496587531277	0.740306366821289	0.890496587531277
LAMP3	0.00336090434639735	0.00588158260619537	0.00250161126115016	0.00583709294268372	0.00237766592275641	0.00583709294268372	0.125673946123963	0.175943524573548	3.25467255925223e-07	2.27827079147656e-06	0.783244018114179	0.783244018114179	0.731384379932098	0.783244018114179
CASP8	0.827587707707835	0.827587707707835	0.1227496831698	0.429623891094301	0.219954990125599	0.513228310293064	0.740458452716022	0.827587707707835	0.794363711192444	0.827587707707835	0.732259692465085	0.827587707707835	0.0694287262173194	0.429623891094301
ICOSLG	0.223772704537161	0.391602232940032	0.0668524608355179	0.233983612924313	0.591565367229067	0.811826220533374	0.811826220533374	0.811826220533374	0.0289425964728618	0.202598175310033	0.118537183939505	0.276586762525512	0.789643804540179	0.811826220533374
MMP12	8.42294749752715e-06	5.89606324826901e-05	0.0989495789534998	0.2308823508915	3.25723130276355e-05	0.000114003095596724	0.865095968529405	0.934616305419823	0.163831081452743	0.277602681731769	0.198287629808407	0.277602681731769	0.934616305419823	0.934616305419823
CXCL13	9.34905769409218e-07	6.54434038586453e-06	0.0274059461859264	0.0639472077671617	0.154838153221267	0.216773414509773	0.0267626203976904	0.0639472077671617	0.145776355238427	0.216773414509773	0.859293332753293	0.859293332753293	0.847067991272862	0.859293332753293
VEGFA	0.0133568138033534	0.0486666650052833	0.513514854872952	0.599100664018444	0.0672387108919095	0.156890325414455	0.139880522616049	0.244790914578087	0.0139047614300809	0.0486666650052833	0.500786110707229	0.599100664018444	0.825972660534059	0.825972660534059
CCL20	0.58846569979468	0.686543316427126	0.158616944570424	0.370106203997655	0.00495236099238807	0.0346665269467165	0.485154062740131	0.679215687836183	0.13406188011729	0.370106203997655	0.276473359252403	0.483828378691705	0.821498841247423	0.821498841247423
KLRD1	0.187290900040253	0.262207260056354	0.000260597055427835	0.000912089693997424	4.13772019032535e-05	0.000289640413322775	0.112993791105353	0.197739134434367	0.770142659044658	0.898499768885434	0.925346206303639	0.925346206303639	0.0877318186637185	0.197739134434367
GZMB	0.849087513921211	0.990602099574746	0.481320123341265	0.764006096924773	0.00184131295162892	0.0128891906614025	0.994006735507761	0.994006735507761	0.545718640660552	0.764006096924773	0.0852624429418527	0.198945700197656	0.0334854042374983	0.117198914831244
CD83	0.238566385227253	0.278327449431796	0.00368235186914043	0.0141603918966856	0.0342928229002195	0.0800165867671789	0.166025142510838	0.232435199515174	0.00404582625619587	0.0141603918966856	0.0546896557860234	0.0957068976255409	0.835940146074802	0.835940146074802
IL12	0.0539129644565383	0.188695375597884	0.69822825586076	0.69822825586076	0.0921176884060126	0.214941272947363	0.306457113457936	0.42903995884111	0.00324737796028711	0.0227316457220098	0.60001099618562	0.69822825586076	0.141294857402528	0.247266000454424
CSF1	0.0282051827698279	0.0658120931295985	0.0254757894175179	0.0658120931295985	0.0120363493757944	0.0658120931295985	0.1065362870967	0.186438502419225	0.761634395075667	0.761634395075667	0.190328441895989	0.266459818654384	0.326285055508384	0.380665898093114
ARG1	0.241184471776687	0.422072825609201	0.0793388819082264	0.422072825609201	0.761590272324175	0.761590272324175	0.383165369135501	0.536431516789701	0.198215646603066	0.422072825609201	0.480130845138584	0.560152652661682	0.166370067608763	0.422072825609201
IL4	0.830508271346122	0.903019869365976	0.81736591693595	0.903019869365976	0.426012401389036	0.745521702430814	0.299762796745094	0.699446525738553	0.244014124471844	0.699446525738553	0.269601606961365	0.699446525738553	0.903019869365976	0.903019869365976
IL5	0.388331366490535	0.679579891358436	0.811197005733347	0.946396506688904	0.0725067036211563	0.253773462674047	0.769243767047602	0.946396506688904	0.381338139013946	0.679579891358436	0.0480190785027311	0.253773462674047	0.96946174622782	0.96946174622782
CD28	0.740301976731929	0.80052565380749	0.252399267167962	0.588931623391912	0.80052565380749	0.80052565380749	0.134605050630408	0.588931623391912	0.210277203683989	0.588931623391912	0.784586867793829	0.80052565380749	0.594896438268896	0.80052565380749
FGF2	0.736622570099041	0.859392998448881	0.0601575401010402	0.128511429821802	0.0220795926983567	0.0772785744442485	0.930713464581521	0.930713464581521	0.0170205537723054	0.0772785744442485	0.307764209417407	0.43086989318437	0.0734351027553156	0.128511429821802
NOS3	0.635152211742867	0.635152211742867	0.0166316453404521	0.116421517383165	0.119739055691526	0.209543347460171	0.327764182646271	0.45886985570478	0.047828726205153	0.167400541718035	0.400985729510406	0.467816684428807	0.0950340833030443	0.209543347460171
ADGRG1	6.27728187833324e-06	4.39409731483327e-05	0.187309715728024	0.327792002524042	0.692501676317064	0.807918622369909	0.0276229873590499	0.0966804557566746	0.548464894151981	0.767850851812774	0.895312442838383	0.895312442838383	0.10323022867338	0.240870533571221
MICAB	0.716092523147519	0.802765985897454	0.0722632224515375	0.168614185720254	0.0202800343953017	0.141960240767112	0.441156121288175	0.617618569803444	0.331759219869397	0.580578634771445	0.0635203555286053	0.168614185720254	0.802765985897454	0.802765985897454
CD4	0.00641341859507036	0.0448939301654925	0.0855865793197198	0.19970201841268	0.352231549499482	0.402971574853655	0.028292014488513	0.0990220507097953	0.238020645489161	0.402971574853655	0.397429764330078	0.402971574853655	0.402971574853655	0.402971574853655
IL10	0.215263301108828	0.37030288250639	8.59766560038215e-07	6.01836592026751e-06	5.32664549989812e-06	1.86432592496434e-05	0.747353829484509	0.747353829484509	0.579607926165072	0.676209247192584	0.169004403900002	0.37030288250639	0.264502058933135	0.37030288250639
CD8A	0.708734668924099	0.826857113744783	0.98612291074635	0.98612291074635	0.0429193733218939	0.100145204417753	0.0421519017583276	0.100145204417753	0.000833093194995081	0.00583165236496557	0.704689356937361	0.826857113744783	0.518273324256802	0.826857113744783
CCL19	0.297004711742807	0.519758245549912	0.0645858768531261	0.379174775382494	0.637245629268246	0.637245629268246	0.541986202522474	0.632317236276219	0.156086949837343	0.379174775382494	0.479859409252434	0.632317236276219	0.162503475163926	0.379174775382494
CXCL10	0.000182440140372772	0.0012770809826094	0.954480367985318	0.954480367985318	0.040166768367426	0.100812708886468	0.179622576211614	0.251471606696259	0.424653208247419	0.495428742955322	0.0432054466656291	0.100812708886468	0.112097640269318	0.196170870471306
PTN	2.44430875072685e-30	1.71101612550879e-29	0.0267869607603108	0.0937543626610877	0.145889205662485	0.340408146545799	0.365492195120029	0.511689073168041	0.650592691058959	0.759024806235452	0.263721700649277	0.461512976136234	0.987048323637106	0.987048323637106
IL12RB1	0.513938448277883	0.513938448277883	0.0908281491564865	0.158949261023851	0.000138713895274748	0.000970997266923237	0.0718317036961997	0.158949261023851	0.0320860845077215	0.112301295777025	0.508522743008199	0.513938448277883	0.341104758282177	0.477546661595048
VEGFC	0.707466158728778	0.707466158728778	0.00609116715646871	0.042638170095281	0.0924871579589969	0.323705052856489	0.413084912188195	0.602011026582299	0.527738253844197	0.615694629484896	0.326866548927176	0.602011026582299	0.430007876130213	0.602011026582299
MCP3	0.923683498657626	0.923683498657626	0.72968221924373	0.923683498657626	0.0448509021665374	0.284206756478003	0.0812019304222866	0.284206756478003	0.342763157227303	0.599835525147781	0.894355314348657	0.923683498657626	0.284804535991087	0.599835525147781
CXCL5	0.183840946214473	0.643443311750655	0.77242417236779	0.833832849080128	0.346255461971012	0.807929411265696	0.116282211410974	0.643443311750655	0.728553847866615	0.833832849080128	0.797016212486816	0.833832849080128	0.833832849080128	0.833832849080128
CXCL11	0.0445334916332574	0.311734441432802	0.177169876407878	0.41339637828505	0.615694814445092	0.718310616852608	0.386395433322613	0.676192008314573	0.730559768874803	0.730559768874803	0.554232464737632	0.718310616852608	0.151973582771952	0.41339637828505
PDL2	0.433266095359941	0.606572533503918	0.0225847309206702	0.122879734580375	0.832112684690342	0.915983781891369	0.41700750707154	0.606572533503918	0.047187379027803	0.122879734580375	0.0526627433915895	0.122879734580375	0.915983781891369	0.915983781891369
LAPTGFbeta1	0.283166139847562	0.678052910857025	0.366277521629829	0.678052910857025	0.665462877917326	0.678052910857025	0.49636778183551	0.678052910857025	0.466208430800032	0.678052910857025	0.678052910857025	0.678052910857025	0.282176602286847	0.678052910857025
