analyte	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_NCIMD_pval	education_NCIMD_pval.adj	aspirin_pval	aspirin_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	PSA_pval	PSA_pval.adj
CXCL9	2.65471253610806e-31	1.85829877527565e-30	0.685614558731546	0.685614558731546	0.254186299473351	0.685614558731546	0.598803468961411	0.685614558731546	0.664923752496804	0.685614558731546	0.489086437090347	0.685614558731546	0.556485260492224	0.685614558731546
CAIX	0.238596857317041	0.544806699034567	0.0452948593166617	0.317064015216632	0.755193564565122	0.755193564565122	0.182240047507022	0.544806699034567	0.531761331830404	0.744465864562565	0.650639340931656	0.755193564565122	0.311318113734038	0.544806699034567
ADA	0.0603040713074508	0.420347190761996	0.194822371798139	0.420347190761996	0.929968209876663	0.929968209876663	0.240198394721141	0.420347190761996	0.197034998794277	0.420347190761996	0.752662271614908	0.878105983550727	0.66574373597915	0.878105983550727
Gal9	0.000181406870859827	0.00126984809601879	0.0025230382045834	0.00883063371604192	0.0766399987514142	0.1788266637533	0.376341558621895	0.432041894960158	0.432041894960158	0.432041894960158	0.289528496463868	0.405339895049415	0.231567100058277	0.405242425101984
VEGFR2	1.91458944922942e-11	1.34021261446059e-10	0.891057760988673	0.891057760988673	0.518645637212266	0.605086576747644	0.398460017098007	0.55784402393721	0.178629936460016	0.312602388805028	0.133429743673022	0.312602388805028	0.154907230777629	0.312602388805028
CD40	0.123874852349933	0.289041322149843	0.261900282085487	0.458325493649602	0.0121278240553918	0.0848947683877424	0.428247919069975	0.599547086697966	0.926186249207875	0.926186249207875	0.654363486810901	0.763424067946051	0.111842057084298	0.289041322149843
IL18	0.434774195063734	0.684662130111066	0.163242756219708	0.571349646768979	0.258581288435505	0.603356339682845	0.934780318406676	0.934780318406676	0.134766840273623	0.571349646768979	0.489044378650762	0.684662130111066	0.805339236429546	0.934780318406676
GZMH	0.247634054858537	0.535147982697964	0.37942459809807	0.535147982697964	0.0607352370164278	0.425146659114994	0.382248559069974	0.535147982697964	0.595403969915057	0.595403969915057	0.519603378571342	0.595403969915057	0.164210133775901	0.535147982697964
CXCL1	0.759420495643955	0.947845437269633	0.0759038693556365	0.265663542744728	0.053372847063874	0.265663542744728	0.947845437269633	0.947845437269633	0.947089138729411	0.947845437269633	0.782175260465573	0.947845437269633	0.350990510250549	0.818977857251281
TNFSF14	0.00139160153987489	0.00974121077912423	0.661174231019301	0.74136589356979	0.0632491667686371	0.22137208369023	0.74136589356979	0.74136589356979	0.200718635121106	0.427132541187332	0.568185808457607	0.74136589356979	0.244075737821333	0.427132541187332
TWEAK	7.63728711018332e-05	0.000534610097712833	0.000301807139627551	0.00105632498869643	0.80952036719182	0.83201036730212	0.552334688048155	0.83201036730212	0.652815852721919	0.83201036730212	0.0128610703475442	0.0300091641442699	0.83201036730212	0.83201036730212
PDGFsubunitB	0.000331843631959785	0.0023229054237185	0.863237336084131	0.863237336084131	0.172738224018982	0.266045679660954	0.860279518314162	0.863237336084131	0.190032628329253	0.266045679660954	0.0262207033068068	0.0917724615738237	0.0543223201523188	0.126752080355411
PDCD1	2.33980802961256e-06	1.63786562072879e-05	0.116380031212356	0.247448014688478	0.164299709148339	0.247448014688478	0.707177528185493	0.707177528185493	0.176748581920342	0.247448014688478	0.368203276994099	0.429570489826449	0.0297531648613724	0.104136077014803
FASLG	0.271448024233566	0.475034042408741	0.668410112521191	0.708151038016113	0.708151038016113	0.708151038016113	0.548804756257584	0.708151038016113	0.11132635374406	0.399640122775234	0.114182892221495	0.399640122775234	0.225652789099986	0.475034042408741
MCP2	0.526163338969354	0.824903193661664	0.824903193661664	0.824903193661664	0.643770259904452	0.824903193661664	0.369585570786523	0.824903193661664	0.794795180076981	0.824903193661664	0.0037595592557836	0.0263169147904852	0.0759848810215441	0.265947083575404
CCL4	0.9761703083916	0.9761703083916	0.547125194995471	0.76597527299366	0.362895510384352	0.76597527299366	0.813427725690583	0.94899901330568	0.496550197852913	0.76597527299366	0.00353940753019829	0.0247758527113881	0.162279652977886	0.567978785422601
Gal1	2.2073419920193e-07	1.54513939441351e-06	0.0121126172479233	0.0423941603677315	0.256920828517668	0.509484190768277	0.63052955371489	0.735617812667372	0.75535097471024	0.75535097471024	0.291133823296159	0.509484190768277	0.580186222323383	0.735617812667372
PDL1	0.00161777083865448	0.0113243958705813	0.212903203717371	0.7451612130108	0.821884437439886	0.821884437439886	0.321721989341512	0.750684641796862	0.564233039514437	0.821884437439886	0.798022098715113	0.821884437439886	0.747670699126645	0.821884437439886
CD27	2.22342992859177e-19	1.55640095001424e-18	0.39013051223325	0.39013051223325	0.138322471768014	0.210495186384647	0.229272483582933	0.267484564180088	0.150353704560462	0.210495186384647	0.0214183689720044	0.0749642914020154	0.0948880747272268	0.210495186384647
HGF	0.971993310072323	0.971993310072323	0.0386749653219327	0.0902415857511763	0.0161758679814403	0.056615537935041	0.42202335512028	0.573701051702052	0.000919273133156813	0.00643491193209769	0.491743758601759	0.573701051702052	0.0926179454330044	0.162081404507758
GZMA	0.509087610863545	0.890903319011204	0.111484824906646	0.780393774346524	0.231607030969402	0.810624608392907	0.807645842497141	0.938222097148205	0.780781753235348	0.938222097148205	0.938222097148205	0.938222097148205	0.493823896154008	0.890903319011204
HO1	0.254400602065987	0.563806694111131	0.2039931430729	0.563806694111131	0.353652635600698	0.563806694111131	0.450907186044379	0.563806694111131	0.959618765446644	0.959618765446644	0.0041212968260134	0.0288490777820938	0.483262880666684	0.563806694111131
CX3CL1	9.077958484127e-08	6.3545709388889e-07	0.00212926437415791	0.00745242530955269	0.567801739050986	0.66243536222615	0.400546507391841	0.66243536222615	0.484927755932773	0.66243536222615	0.729448704111882	0.729448704111882	0.279311818839058	0.651727577291135
CD70	0.00807370790649899	0.0565159553454929	0.861151784611331	0.861151784611331	0.134145140806475	0.313005328548442	0.187421958761501	0.327988427832626	0.354903348010192	0.496864687214269	0.734453347581909	0.85686223884556	0.0770516813208603	0.269680884623011
TNFRSF12A	2.53409670886295e-19	1.77386769620406e-18	0.34878224926593	0.488295148972302	0.940335364305122	0.940335364305122	0.0809135456606373	0.188798273208154	0.113182890268334	0.198070057969585	0.00593854678100666	0.0207849137335233	0.844564264916812	0.940335364305122
CCL23	8.54563742189782e-06	5.98194619532847e-05	0.140604854658935	0.328077994204182	0.781571326397237	0.840155973418387	0.840155973418387	0.840155973418387	0.0289102442853157	0.101185854998605	0.270152937140719	0.472767639996258	0.789464530588522	0.840155973418387
CD5	1.92732822011332e-05	0.000134912975407932	0.236103455461394	0.275454031371626	0.229705826423558	0.275454031371626	0.121011649919939	0.211770387359893	0.0805323382488219	0.194308981469743	0.083275277772747	0.194308981469743	0.8661713450716	0.8661713450716
CCL3	0.18813228325021	0.263385196550294	0.162806149111479	0.263385196550294	0.0944778198408185	0.263385196550294	0.586171354528752	0.586171354528752	0.110115822431682	0.263385196550294	0.113766419229758	0.263385196550294	0.254283548892375	0.296664140374438
MMP7	6.07667675232202e-13	4.25367372662541e-12	0.63555183335663	0.741477138916068	0.021685649716193	0.0505998493377837	0.902523836853873	0.902523836853873	0.0293542345637442	0.0513699104865524	0.00139515323866534	0.00488303633532868	0.229564119130248	0.321389766782347
NCR1	4.15382507389311e-08	2.90767755172518e-07	0.128287530186959	0.398895038227471	0.804859822680278	0.804859822680278	0.170955016383202	0.398895038227471	0.541189852989946	0.631388161821603	0.300166047645823	0.525290583380191	0.482089829265269	0.631388161821603
DCN	5.70239619788673e-25	3.99167733852071e-24	0.791080918072212	0.791080918072212	0.167786819894357	0.345441627869867	0.075217802741425	0.263262309594987	0.207554726062834	0.345441627869867	0.494191132533517	0.576556321289104	0.246744019907048	0.345441627869867
TNFRSF21	5.42085850400462e-06	3.79460095280323e-05	0.0031883127437086	0.0111590946029801	0.472160995058418	0.649849021836023	0.555850270141785	0.649849021836023	0.99119765622986	0.99119765622986	0.187936343495888	0.43851813482374	0.557013447288019	0.649849021836023
TNFRSF4	1.64693708322679e-11	1.15285595825875e-10	0.111651149096437	0.260519347891687	0.357450476192043	0.357450476192043	0.30972838311588	0.357450476192043	0.313922826453454	0.357450476192043	0.235062570651397	0.357450476192043	0.0399788057749658	0.13992582021238
CCL17	0.501849784455054	0.585491415197564	0.202397627865429	0.354195848764501	0.187121727638293	0.354195848764501	0.683615726109881	0.683615726109881	0.0748240429768312	0.261884150418909	0.0162216899722226	0.113551829805558	0.320009542945175	0.448013360123245
ANGPT2	2.40084188933394e-07	8.40294661266879e-07	0.069052646982546	0.120842132219455	0.52266919878948	0.731736878305272	0.824266286186012	0.884226880970741	1.23702871733085e-07	8.40294661266879e-07	0.0277078321712727	0.0646516083996364	0.884226880970741	0.884226880970741
LAMP3	2.84371294227082e-06	9.95299529794787e-06	0.959446749239227	0.959446749239227	0.291964478539206	0.408750269954889	0.172442232937168	0.329438532290402	6.89804044807321e-10	4.82862831365125e-09	0.18825058988023	0.329438532290402	0.88780176919503	0.959446749239227
CASP8	0.0816615564692306	0.423441721670735	0.935744829828833	0.935744829828833	0.154867347562997	0.423441721670735	0.241966698097563	0.423441721670735	0.828718704128006	0.935744829828833	0.371720036071949	0.520408050500729	0.184728496346212	0.423441721670735
ICOSLG	0.0500563773290125	0.175197320651544	7.73137303587917e-05	0.000541196112511542	0.165981134437273	0.290466985265227	0.50617188299557	0.676339482536803	0.0961767217797365	0.224412350819385	0.711681766102233	0.711681766102233	0.579719556460117	0.676339482536803
MMP12	4.61288820128117e-19	3.22902174089682e-18	0.389324735923335	0.454212191910558	0.0201972203203915	0.0353451355606852	0.471302438634125	0.471302438634125	3.14914500381335e-07	1.10220075133467e-06	0.00360742721349561	0.00841733016482309	0.173457356630061	0.242840299282085
CXCL13	3.32516683077584e-05	0.000232761678154309	0.617998590417714	0.720998355487333	0.0275691421762964	0.0964919976170373	0.853639693711611	0.853639693711611	0.367548120402732	0.514567368563825	0.210580331469672	0.491354106762568	0.337512876875554	0.514567368563825
VEGFA	0.837374058904842	0.837374058904842	0.478737571242846	0.779481447046953	0.148432693761407	0.519514428164925	0.546112740701078	0.779481447046953	0.0624443257720038	0.437110280404027	0.556772462176395	0.779481447046953	0.728098170745932	0.837374058904842
CCL20	0.34395724322486	0.601925175643505	0.707857736806893	0.953428484463881	0.0158635314566301	0.111044720196411	0.953428484463881	0.953428484463881	0.142127890392566	0.497447616373981	0.323867607522024	0.601925175643505	0.94035935668787	0.953428484463881
KLRD1	4.5785448580267e-05	0.000320498140061869	0.205241716431887	0.271019086104737	0.134537533191474	0.235440683085079	0.66436028788548	0.66436028788548	0.101217801850476	0.235440683085079	0.031325839178792	0.109640437125772	0.232302073804061	0.271019086104737
GZMB	0.10174682985449	0.333874677991371	0.85487060714148	0.993354036539151	0.993354036539151	0.993354036539151	0.742735417512356	0.993354036539151	0.355284729306177	0.621748276285809	0.143089147710588	0.333874677991371	0.041381773140943	0.289672411986601
CD83	4.60154038584489e-10	3.22107827009142e-09	0.0267973321724417	0.0611005238123831	0.118033524383131	0.165246934136384	0.0349145850356475	0.0611005238123831	5.43832648327157e-06	1.90341426914505e-05	0.915619689652796	0.915619689652796	0.676824384017676	0.789628448020621
IL12	0.00117136494085369	0.00819955458597586	0.0147136169851091	0.0514976594478817	0.255546687236129	0.35776536213058	0.554349414446242	0.554349414446242	0.217134738734449	0.35776536213058	0.219576538431869	0.35776536213058	0.529232115505269	0.554349414446242
CSF1	0.000601028735990829	0.0042072011519358	0.488570193909223	0.488570193909223	0.0250299956459141	0.0876049847606994	0.125704599297105	0.27538032270277	0.157360184401583	0.27538032270277	0.439680034691591	0.488570193909223	0.479137892376843	0.488570193909223
ARG1	0.000158150175793923	0.00110705123055746	0.669455821079004	0.937238149510605	0.640997853191748	0.937238149510605	0.949041380884219	0.976076590547905	0.641955845244102	0.937238149510605	0.976076590547905	0.976076590547905	0.0984367080067731	0.344528478023706
IL4	0.00780381350110388	0.0546266945077272	0.399927570103632	0.699873247681357	0.668372212452318	0.779767581194371	0.600942854395782	0.779767581194371	0.0464693931383774	0.162642875984321	0.19303381090778	0.450412225451486	0.825377578268556	0.825377578268556
IL5	0.94483421345014	0.993729176056575	0.993729176056575	0.993729176056575	0.416213787222106	0.971165503518248	0.93660228483065	0.993729176056575	0.383106059277159	0.971165503518248	0.0483489733508164	0.338442813455715	0.949292455162797	0.993729176056575
CD28	0.694695463849124	0.933986309864078	0.833193471967654	0.933986309864078	0.933986309864078	0.933986309864078	0.0306966730317696	0.214876711222387	0.852953649793358	0.933986309864078	0.374964203929691	0.933986309864078	0.726391614154432	0.933986309864078
FGF2	0.145349940712237	0.519976579353552	0.367213808395764	0.612255177492861	0.524790152136738	0.612255177492861	0.152436241807221	0.519976579353552	0.222847105437236	0.519976579353552	0.901480412259362	0.901480412259362	0.524295710330553	0.612255177492861
NOS3	0.00211531775477906	0.0148072242834534	0.00454527484719259	0.0159084619651741	0.102115699358036	0.119134982584375	0.736272794826063	0.736272794826063	0.0137066749907664	0.0239866812338411	0.00766226908438166	0.0178786278635572	0.0669149984298275	0.0936809978017586
ADGRG1	6.42420358550866e-16	4.49694250985606e-15	4.01824773856114e-12	1.4063867084964e-11	0.7513406004499	0.876564033858217	0.9555537123822	0.9555537123822	0.291188729973626	0.407664221963077	4.12751265230198e-09	9.63086285537128e-09	0.0307279084096655	0.0537738397169146
MICAB	0.905694424534635	0.905694424534635	0.0337689786146962	0.236382850302874	0.240695885969617	0.561623733929106	0.532165223258563	0.818930371091784	0.883274851485558	0.905694424534635	0.108078215538668	0.378273754385337	0.58495026506556	0.818930371091784
CD4	4.28011146019544e-09	2.99607802213681e-08	0.23170610131064	0.405485677293619	0.195491510940577	0.405485677293619	0.937943038859009	0.969872840302924	0.0851614689183287	0.298065141214151	0.47426019271295	0.66396426979813	0.969872840302924	0.969872840302924
IL10	0.0226909638212537	0.0794183733743879	0.381577743778546	0.600950172608682	0.403341076517983	0.600950172608682	0.45303489635081	0.600950172608682	0.600950172608682	0.600950172608682	0.557288036251469	0.600950172608682	0.00772135045940023	0.0540494532158016
CD8A	0.902261793234814	0.902261793234814	0.0604695974650596	0.423287182255417	0.28296312763559	0.460863813330678	0.460448743372772	0.537190200601567	0.129844991996439	0.454457471987535	0.329188438093341	0.460863813330678	0.253224366065628	0.460863813330678
CCL19	0.00191068234083123	0.00668738819290932	0.000633503120599762	0.00443452184419834	0.396623011547567	0.694090270208242	0.530721748343582	0.743010447681015	0.182917432295049	0.42680734202178	0.772542110261425	0.772542110261425	0.689873354240234	0.772542110261425
CXCL10	4.07674889277074e-09	2.85372422493952e-08	0.0201996847588997	0.047132597770766	0.96776713029795	0.96776713029795	0.91201066910484	0.96776713029795	0.650716914490597	0.911003680286836	0.00415101529216996	0.0145285535225949	0.441596735073024	0.772794286377792
PTN	6.58445795713481e-63	4.60912056999437e-62	0.838967167641741	0.838967167641741	0.00602137958168496	0.0199288301705084	0.0157988983936242	0.0276480721888423	0.00854092721593216	0.0199288301705084	0.604435036373924	0.705174209102911	0.443771526970347	0.621280137758486
IL12RB1	4.74450523479994e-07	3.32115366435996e-06	0.449892432957476	0.469365728266318	0.469365728266318	0.469365728266318	0.114809350248986	0.267888483914301	0.0759227467627071	0.265729613669475	0.245990735487242	0.430483787102674	0.352843785554541	0.469365728266318
VEGFC	1.76888217249927e-06	1.23821752074949e-05	0.858367728365569	0.954490474682726	0.0428658490015353	0.103931304190346	0.954490474682726	0.954490474682726	0.297728623895461	0.521025091817056	0.0445419875101485	0.103931304190346	0.845037229196039	0.954490474682726
MCP3	0.143066008403838	0.333820686275623	0.946583465583641	0.946583465583641	0.0450703969715725	0.315492778801007	0.341769104573583	0.478476746403016	0.731725979381549	0.853680309278474	0.313009099544814	0.478476746403016	0.117971036858036	0.333820686275623
CXCL5	0.246470831161861	0.862647909066513	0.429276678629388	0.910416225885097	0.175844945021065	0.862647909066513	0.520237843362912	0.910416225885097	0.987210824443516	0.987210824443516	0.839360444308559	0.979253851693319	0.829738831657309	0.979253851693319
CXCL11	0.0128096459394532	0.0298891738587241	0.0103199733138972	0.0298891738587241	0.0502722227410489	0.0879763897968355	0.129121396887335	0.180769955642269	0.635624017168923	0.635624017168923	0.0119750244415369	0.0298891738587241	0.487166224444953	0.568360595185778
PDL2	0.0542751947759773	0.379926363431841	0.208959014899199	0.487571034764798	0.998263171773727	0.998263171773727	0.920512133492751	0.998263171773727	0.967919429754973	0.998263171773727	0.167934932382893	0.487571034764798	0.577376364640587	0.998263171773727
LAPTGFbeta1	0.00175453836782968	0.0122817685748078	0.86365762673708	0.86365762673708	0.395631179576724	0.692354564259267	0.20054991328162	0.467949797657112	0.6589872753585	0.768818487918251	0.104179174418495	0.364627110464732	0.585309817414297	0.768818487918251
