feature	a0	a0.2	a0.4	a0.6	a0.8	a1
MCP2	1	0.1002	0.07296	0.05058	0.05204	0.03468
CCL4	1	0.0832	0.05744	0.0411	0.03792	0.02498
Gal1	1	0.05898	0.03528	0.02524	0.02346	0.01522
PDL1	1	0.05252	0.0327	0.02196	0.02046	0.01364
CD27	1	0.04296	0.0244	0.0188	0.01416	0.01046
HGF	1	0.06484	0.04308	0.0282	0.02578	0.01886
GZMA	1	0.052	0.03224	0.02136	0.0193	0.01266
HO1	1	0.10778	0.07852	0.05116	0.04924	0.03696
CX3CL1	1	0.05158	0.02848	0.01964	0.01946	0.01078
CD70	1	0.07818	0.05248	0.03804	0.03644	0.02366
TNFRSF12A	1	0.0507	0.02756	0.01876	0.0171	0.01178
CCL23	1	0.07582	0.05264	0.03644	0.03124	0.02548
CD5	1	0.0435	0.02568	0.01774	0.01598	0.01076
CCL3	1	0.10084	0.06792	0.04714	0.05002	0.03192
MMP7	1	0.07906	0.05382	0.03892	0.03682	0.02478
NCR1	1	0.04546	0.02632	0.01616	0.0146	0.00894
DCN	1	0.06732	0.04318	0.03008	0.02862	0.01974
TNFRSF21	1	0.0437	0.02496	0.01622	0.01478	0.01038
TNFRSF4	1	0.03716	0.02302	0.01378	0.01366	0.00908
CCL17	1	0.09586	0.06908	0.04824	0.05052	0.031
ANGPT2	1	0.08418	0.05742	0.03864	0.03728	0.02722
LAMP3	1	0.07758	0.05466	0.03586	0.03532	0.02368
CASP8	1	0.07686	0.04888	0.03252	0.02894	0.0203
ICOSLG	1	0.07198	0.0484	0.0342	0.0339	0.02168
MMP12	1	0.0822	0.05654	0.03922	0.03786	0.02592
CXCL13	1	0.08354	0.06202	0.04188	0.04484	0.02848
VEGFA	1	0.07636	0.05058	0.03516	0.0343	0.02294
CCL20	1	0.09828	0.07676	0.04844	0.04852	0.03316
KLRD1	1	0.07822	0.05698	0.04062	0.0355	0.02456
GZMB	1	0.09004	0.06232	0.04246	0.04356	0.02818
CD83	1	0.03006	0.01448	0.01176	0.00882	0.00684
IL12	1	0.06676	0.04814	0.03256	0.02994	0.02172
CSF1	1	0.03706	0.02072	0.0145	0.01214	0.0091
ARG1	1	0.08084	0.06244	0.047	0.04612	0.03586
IL4	1	0.09888	0.06866	0.04942	0.0494	0.0352
IL5	1	0.10344	0.07486	0.05272	0.05166	0.03702
CD28	1	0.0764	0.0583	0.04346	0.04372	0.03174
FGF2	1	0.09536	0.06628	0.04648	0.04358	0.0298
NOS3	1	0.10104	0.07146	0.0484	0.0508	0.03154
ADGRG1	1	0.09682	0.06776	0.04552	0.04656	0.02962
MICAB	1	0.11368	0.08594	0.0591	0.05708	0.03948
CD4	1	0.06468	0.04522	0.02958	0.02514	0.01992
IL10	1	0.0754	0.05486	0.03584	0.03486	0.02362
CD8A	1	0.09974	0.07276	0.04608	0.04436	0.02774
CCL19	1	0.0933	0.0635	0.04582	0.04322	0.02714
CXCL10	1	0.07734	0.05366	0.0361	0.03428	0.02276
PTN	1	0.08372	0.05526	0.03662	0.03696	0.02292
IL12RB1	1	0.05764	0.03512	0.02404	0.0226	0.0147
VEGFC	1	0.08916	0.06354	0.04304	0.0409	0.03044
MCP3	1	0.08158	0.04676	0.03116	0.03038	0.02126
CXCL5	1	0.09964	0.07132	0.04938	0.04704	0.03102
CXCL11	1	0.0951	0.06284	0.04496	0.04246	0.02984
PDL2	1	0.06958	0.04904	0.03406	0.03194	0.01976
LAPTGFbeta1	1	0.0712	0.04554	0.03574	0.03368	0.02332
