feature	a0	a0.2	a0.4	a0.6	a0.8	a1
MICAB	1	0.996300369963004	1	1	1	1
CD4	1	0.0116988301169883	0.0236976302369763	0.0348965103489651	0.10968903109689	0.380661933806619
IL10	1	1	1	1	1	1
CD8A	1	0.121387861213879	0.344265573442656	0.585241475852415	0.702129787021298	0.893810618938106
CCL19	1	0.992500749925007	1	0.995800419958004	1	1
CXCL10	1	0.0616938306169383	0.106489351064894	0.276872312768723	0.447955204479552	0.705329467053295
PTN	1	0.00999900009999	0.0055994400559944	0.0037996200379962	0.0025997400259974	0.0017998200179982
IL12RB1	1	1	1	1	1	1
VEGFC	1	0.794220577942206	0.9005099490051	0.922207779222078	0.915408459154085	0.958504149585041
MCP3	1	1	1	1	1	1
CXCL5	1	1	1	1	1	1
CXCL11	1	0.227077292270773	0.587441255874413	0.814118588141186	0.878812118788121	0.954104589541046
PDL2	1	0.641235876412359	0.917808219178082	0.986201379862014	0.986401359864014	1
LAPTGFbeta1	1	0.152384761523848	0.362363763623638	0.576942305769423	0.692130786921308	0.828317168283172
